doc_id,title,source,url,created_at,doc_type,text
S2-01,Infusion Pump — Occlusion Alarm Troubleshooting,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/01,2025-08-18,sop,Checklist: inspect for kinks or closed clamps; check for infiltration; flush line if policy allows; verify pressure limits; replace tubing/set if unresolved; escalate to biomed if alarm persists.
S2-02,Vital Signs Monitor — SpO₂ Signal Loss,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/02,2025-08-18,sop,Ensure correct probe size and placement; warm extremity; remove nail polish; try ear/forehead probe for poor perfusion; clean sensor surfaces.
S2-03,Syringe Pump Calibration,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/03,2025-08-18,sop,Verify syringe brand/size; run calibration routine per manual; document results; remove device from service if out of tolerance; notify biomed.
S2-04,Defibrillator Daily Check,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/04,2025-08-18,sop,"Verify battery level, pads, and self-test log; perform energy delivery test using a test load; restock disposables; record on checklist."
S2-05,EHR Downtime — Read-only Mode,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/05,2025-08-18,sop,Switch to downtime forms; document meds on paper MAR; batch-scan for backload when restored; timestamp and sign entries.
S2-06,NIBP Cuff Error,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/06,2025-08-18,sop,"Check hose/cuff integrity and size; reposition; run leak test; replace cuff; if persistent, open a helpdesk ticket with device ID and room."
S2-07,Telemetry Lead-Off,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/07,2025-08-18,sop,Prep skin; place leads per diagram; replace worn electrodes; secure cables; verify signal quality on central monitor.
S2-08,Ventilator High Pressure Alarm,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/08,2025-08-18,sop,Check for secretions or kinks; assess compliance/tidal volume; coordinate with RT; do not silence without investigation; consider suctioning.
S2-09,IV Pump Battery Maintenance,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/09,2025-08-18,sop,"Cycle batteries monthly; replace if capacity below threshold; log serial, service date, and tested capacity in CMMS."
S2-10,Portable X-ray Warmup,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/10,2025-08-18,sop,"Run warmup before first use; for artifacts, run detector calibration; if unresolved, contact imaging support and log error code."
S2-11,Printer Jam at Nurses’ Station,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/11,2025-08-18,sop,"Open rear access; remove jammed paper; fan/realign stack; run self-test; if recurring, open ticket and attach printer status page."
S2-12,Badge Reader Intermittent,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/12,2025-08-18,sop,Clean reader; verify cabling; check user permissions in directory; escalate if hardware fault suspected; record failed swipe times.
S2-13,Barcode Scanner Not Reading,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/13,2025-08-18,sop,Clean lens; ensure symbology enabled; verify HID mode; test with known-good barcode; reboot workstation if needed.
S2-14,Network Port Down,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/14,2025-08-18,sop,Check link lights; swap patch cable; verify switch port enabled; identify port ID for networking ticket; label cable after change.
S2-15,Glucose Meter QC Failure,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/15,2025-08-18,sop,Verify control solution dates; clean strip port; repeat QC; remove from service and notify lab if second failure; document lot numbers.
S2-16,Med Dispensing Cabinet Alert,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/16,2025-08-18,sop,Check bin sensors; reconcile inventory; run self-check; escalate to pharmacy IT for persistent faults; capture cabinet log excerpt.
S2-17,Ultrasound — No Image,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/17,2025-08-18,sop,Check probe connection; try alternate probe; run probe self-test; inspect for gel contamination; open vendor support case if needed.
S2-18,SpO₂ Probe Inventory,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/18,2025-08-18,sop,Maintain minimum par level of 6 per unit; trigger restock when on-hand < par; record device ID and date.
S2-19,EHR Barcode Med Admin Tips,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/19,2025-08-18,sop,Scan wristband before medication; verify the five rights; document exceptions; follow downtime workflow if scanner unavailable.
S2-20,Nurse Call System — Alert Flood,Biomedical/IT Ops Handbook (synthetic),https://example.org/s2/20,2025-08-18,sop,Check for stuck call button; inspect room panel; notify facilities; open ticket if controller fault suspected; document room numbers.
